"MRC 
Table A

Core SD-WAN_Unnamed: 0_level_1_City","MRC 
Table A

Core SD-WAN_Unnamed: 1_level_1_Tax
(%)","MRC 
Table A

Core SD-WAN_Unnamed: 2_level_1_Tax & Transporation","MRC 
Table A

Core SD-WAN_Unnamed: 3_level_1_CPE 
Band-width 
(Mbps)","MRC 
Table A

Core SD-WAN_Unnamed: 4_level_1_Band-width 
Range","VE2000
Need extra accessories_GM Price_MRC
(USD)","VE1000
Need extra accessories_Unnamed: 6_level_1_Unnamed: 6_level_2",VE100b_Unnamed: 7_level_1_Unnamed: 7_level_2,"ISR-4451
Need extra accessories_Unnamed: 8_level_1_Unnamed: 8_level_2","ISR-4431
Need extra accessories_Unnamed: 9_level_1_Unnamed: 9_level_2","ISR-4331
Need extra accessories_Unnamed: 10_level_1_Unnamed: 10_level_2",C1111-8PLTE_Unnamed: 11_level_1_Unnamed: 11_level_2,C1111X-8P_Unnamed: 12_level_1_Unnamed: 12_level_2,ISR1100X-6G_Unnamed: 13_level_1_Unnamed: 13_level_2,ISR1100-4GLTEGB_Unnamed: 14_level_1_Unnamed: 14_level_2,ISR1100-4G_Unnamed: 15_level_1_Unnamed: 15_level_2,"ASR-1001X
Need extra accessories_Unnamed: 16_level_1_Unnamed: 16_level_2","vCPE
vEdgeCloud_Unnamed: 17_level_1_Unnamed: 17_level_2","vCPE
CSR1kv_Unnamed: 18_level_1_Unnamed: 18_level_2","Cisco
Advance License for CPE_GM Price_MRC
(USD)",Premimun License for CPE_Unnamed: 20_level_1_Unnamed: 20_level_2,"Cisco Advance License for Shared GW_GM Price_MRC
(USD)","Cisco
Advance
License for dedicateGW_Unnamed: 22_level_1_MRC
(USD)","MPLS-VPN
 for GW_Unnamed: 23_level_1_MRC
(USD)","Internet
for GW_Unnamed: 24_level_1_MRC
(USD)"
"1

Hong Kong 
& Macao",0.0,0.06,5,< 5,,76.01307582117916,37.849118487845814,,,,79.07117190417578,68.98087305585928,,54.0570072656236,46.14422504340137,,32.890314821179146,,49.149833333333326,98.29966666666665,,49.149833333333326,6.460000000000001,20.203720503195633
,,,10,6-10Mb,,76.01307582117916,37.849118487845814,,,,79.07117190417578,68.98087305585928,,54.0570072656236,46.14422504340137,,32.890314821179146,,49.149833333333326,98.29966666666665,,58.97980000000001,12.920000000000002,40.40744100639127
,,,15,11-15Mb,,76.01307582117916,37.849118487845814,,,,79.07117190417578,68.98087305585928,,54.0570072656236,46.14422504340137,,32.890314821179146,,80.1958,143.4837777777778,,88.21537999999977,19.380000000000003,60.6111615095869
,,,25,11-25Mb,319.0990715989569,76.01307582117916,37.849118487845814,513.2307074987887,358.41188675148226,128.24140410131383,79.07117190417578,68.98087305585928,96.19257259895693,54.0570072656236,46.14422504340137,,32.890314821179146,,98.59575000000001,197.19150000000002,,103.52553750000003,32.300000000000004,101.01860251597816
,,,50,26-50Mb,319.0990715989569,76.01307582117916,37.849118487845814,513.2307074987887,358.41188675148226,128.24140410131383,79.07117190417578,68.98087305585928,96.19257259895693,54.0570072656236,46.14422504340137,,32.890314821179146,68.77920371006805,121.97654545454535,243.9530909090907,,146.37185454545428,64.60000000000001,202.03720503195632
,,,100,51-100Mb,319.0990715989569,76.01307582117916,,513.2307074987887,358.41188675148226,128.24140410131383,79.07117190417578,68.98087305585928,96.19257259895693,54.0570072656236,46.14422504340137,,32.890314821179146,68.77920371006805,240.17921111111113,480.35842222222226,0.0,264.19713222222225,129.20000000000002,404.07441006391264
,,,250,101-250Mb,319.0990715989569,,,513.2307074987887,358.41188675148226,128.24140410131383,,,96.19257259895693,,,,32.890314821179146,68.77920371006805,322.6052222222222,645.2104444444444,0.0,338.7354833333334,323.0,1010.1860251597817
,,,500,251-500Mb,319.0990715989569,,,513.2307074987887,358.41188675148226,,,,,,,,32.890314821179146,68.77920371006805,394.383,788.766,0.0,433.8213,646.0,2020.3720503195634
"2

Mainland China",0.13,0.19,5,< 5,,81.30171632117914,38.457273654512484,,,,84.73486192378857,73.40707359407475,,56.65292237673471,47.769704598956935,,32.890314821179146,,55.53931166666666,111.07862333333333,,55.53931166666666,23.85909476098293,20.203720503195633
,,,10,6-10Mb,,81.30171632117914,38.457273654512484,,,,84.73486192378857,73.40707359407475,,56.65292237673471,47.769704598956935,,32.890314821179146,,55.53931166666666,111.07862333333333,,66.647174,47.71818952196586,40.40744100639127
,,,15,11-15Mb,,81.30171632117914,38.457273654512484,,,,84.73486192378857,73.40707359407475,,56.65292237673471,47.769704598956935,,32.890314821179146,,90.62125400000001,162.1366688888889,,99.68337939999972,71.57728428294878,60.6111615095869
,,,25,11-25Mb,354.2001455434013,81.30171632117914,38.457273654512484,572.1403782988729,398.3343436863308,139.93540561680206,84.73486192378857,73.40707359407475,103.95605704340137,56.65292237673471,47.769704598956935,,32.890314821179146,,111.41319750000001,222.82639500000002,,116.983857375,119.29547380491465,101.01860251597816
,,,50,26-50Mb,354.2001455434013,81.30171632117914,38.457273654512484,572.1403782988729,398.3343436863308,139.93540561680206,84.73486192378857,73.40707359407475,103.95605704340137,56.65292237673471,47.769704598956935,,32.890314821179146,73.4447592656236,137.83349636363621,275.66699272727243,,165.40019563636332,238.5909476098293,202.03720503195632
,,,100,51-100Mb,354.2001455434013,81.30171632117914,,572.1403782988729,398.3343436863308,139.93540561680206,84.73486192378857,73.40707359407475,103.95605704340137,56.65292237673471,47.769704598956935,,32.890314821179146,73.4447592656236,271.4025085555555,542.805017111111,0.0,298.5427594111111,477.1818952196586,404.07441006391264
,,,250,101-250Mb,354.2001455434013,,,572.1403782988729,398.3343436863308,139.93540561680206,,,103.95605704340137,,,,32.890314821179146,73.4447592656236,364.5439011111111,729.0878022222222,0.0,382.7710961666668,1192.9547380491467,1010.1860251597817
,,,500,251-500Mb,354.2001455434013,,,572.1403782988727,398.3343436863308,,,,,,,,32.890314821179146,73.4447592656236,445.65279000000004,891.3055800000001,0.0,490.2180689999999,2385.909476098293,2020.3720503195634
"3

Taiwan",0.05,0.11,5,< 5,,78.04716832117916,38.08302432117915,,,,81.24951421941148,70.68325787824985,,55.05543615451249,46.76940948784583,,32.890314821179146,,51.607325,103.21465,,51.607325,9.690000000000001,20.203720503195633
,,,10,6-10Mb,,78.04716832117916,38.08302432117915,,,,81.24951421941148,70.68325787824985,,55.05543615451249,46.76940948784583,,32.890314821179146,,51.607325,103.21465,,61.92879000000001,19.380000000000003,40.40744100639127
